Statistics,Name,Team,Stat Number,Year,League
Base on Balls,Carlos Santana,Cleveland Indians,47.0,2020,AL
Batting Average,DJ LeMahieu,New York Yankees,0.364,2020,AL
Doubles,Cesar Hernandez,Cleveland Indians,20.0,2020,AL
Hits,Jose Abreu,Chicago White Sox,76.0,2020,AL
Home Runs,Luke Voit,New York Yankees,22.0,2020,AL
On Base Percentage,DJ LeMahieu,New York Yankees,0.421,2020,AL
RBI,Jose Abreu,Chicago White Sox,60.0,2020,AL
Runs,Tim Anderson,Chicago White Sox,45.0,2020,AL
Runs,Jose Ramirez,Cleveland Indians,45.0,2020,AL
Slugging Average,Jose Abreu,Chicago White Sox,0.617,2020,AL
Stolen Bases,Adalberto Mondesi,Kansas City Royals,24.0,2020,AL
Total Bases,Jose Abreu,Chicago White Sox,148.0,2020,AL
Triples,Kyle Tucker,Houston Astros,6.0,2020,AL
Base on Balls,Joey Gallo,Texas Rangers,111.0,2021,AL
Base on Balls,Joey Gallo,New York Yankees,111.0,2021,AL
Batting Average,Yuli Gurriel,Houston Astros,0.319,2021,AL
Doubles,Jeimer Candelario,Detroit Tigers,42.0,2021,AL
Doubles,J.D. Martinez,Boston Red Sox,42.0,2021,AL
Doubles,Whit Merrifield,Kansas City Royals,42.0,2021,AL
Hits,Bo Bichette,Toronto Blue Jays,191.0,2021,AL
Home Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,48.0,2021,AL
Home Runs,Salvador Perez,Kansas City Royals,48.0,2021,AL
On Base Percentage,Vladimir Guerrero Jr.,Toronto Blue Jays,0.401,2021,AL
RBI,Salvador Perez,Kansas City Royals,121.0,2021,AL
Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,123.0,2021,AL
Slugging Average,Vladimir Guerrero Jr.,Toronto Blue Jays,0.601,2021,AL
Stolen Bases,Whit Merrifield,Kansas City Royals,40.0,2021,AL
Total Bases,Vladimir Guerrero Jr.,Toronto Blue Jays,363.0,2021,AL
Triples,Shohei Ohtani,Los Angeles Angels,8.0,2021,AL
Base on Balls,Aaron Judge,New York Yankees,111.0,2022,AL
Batting Average,Luis Arraez,Minnesota Twins,0.316,2022,AL
Doubles,José Ramírez,Cleveland Guardians,44.0,2022,AL
Hits,Bo Bichette,Toronto Blue Jays,189.0,2022,AL
Home Runs,Aaron Judge,New York Yankees,62.0,2022,AL
On Base Percentage,Aaron Judge,New York Yankees,0.425,2022,AL
RBI,Aaron Judge,New York Yankees,131.0,2022,AL
Runs,Aaron Judge,New York Yankees,133.0,2022,AL
Slugging Average,Aaron Judge,New York Yankees,0.686,2022,AL
Stolen Bases,Jorge Mateo,Baltimore Orioles,35.0,2022,AL
Total Bases,Aaron Judge,New York Yankees,391.0,2022,AL
Triples,Amed Rosario,Cleveland Guardians,9.0,2022,AL
Base on Balls,Bryce Harper,Philadelphia Phillies,49.0,2020,NL
Batting Average,Juan Soto,Washington Nationals,0.351,2020,NL
Doubles,Freddie Freeman,Atlanta Braves,23.0,2020,NL
Hits,Trea Turner,Washington Nationals,78.0,2020,NL
Home Runs,Marcell Ozuna,Atlanta Braves,18.0,2020,NL
On Base Percentage,Juan Soto,Washington Nationals,0.49,2020,NL
RBI,Marcell Ozuna,Atlanta Braves,56.0,2020,NL
Runs,Freddie Freeman,Atlanta Braves,51.0,2020,NL
Slugging Average,Juan Soto,Washington Nationals,0.695,2020,NL
Stolen Bases,Trevor Story,Colorado Rockies,15.0,2020,NL
Total Bases,Marcell Ozuna,Atlanta Braves,145.0,2020,NL
Triples,Trevor Story,Colorado Rockies,4.0,2020,NL
Triples,Trea Turner,Washington Nationals,4.0,2020,NL
Triples,Mike Yastrzemski,San Francisco Giants,4.0,2020,NL
Base on Balls,Juan Soto,Washington Nationals,145.0,2021,NL
Batting Average,Trea Turner,Washington Nationals,0.328,2021,NL
Batting Average,Trea Turner,Los Angeles Dodgers,0.328,2021,NL
Doubles,Bryce Harper,Philadelphia Phillies,42.0,2021,NL
Hits,Trea Turner,Washington Nationals,195.0,2021,NL
Hits,Trea Turner,Los Angeles Dodgers,195.0,2021,NL
Home Runs,Fernando Tatis Jr.,San Diego Padres,42.0,2021,NL
On Base Percentage,Juan Soto,Washington Nationals,0.465,2021,NL
RBI,Adam Duvall,Miami Marlins,113.0,2021,NL
RBI,Adam Duvall,Atlanta Braves,113.0,2021,NL
Runs,Freddie Freeman,Atlanta Braves,120.0,2021,NL
Slugging Average,Bryce Harper,Philadelphia Phillies,0.615,2021,NL
Stolen Bases,Trea Turner,Washington Nationals,32.0,2021,NL
Stolen Bases,Trea Turner,Los Angeles Dodgers,32.0,2021,NL
Total Bases,Trea Turner,Washington Nationals,319.0,2021,NL
Total Bases,Trea Turner,Los Angeles Dodgers,319.0,2021,NL
Triples,David Peralta,Arizona Diamondbacks,8.0,2021,NL
Triples,Bryan Reynolds,Pittsburgh Pirates,8.0,2021,NL
Base on Balls,Juan Soto,Washington Nationals,135.0,2022,NL
Base on Balls,Juan Soto,San Diego Padres,135.0,2022,NL
Batting Average,Jeff McNeil,New York Mets,0.326,2022,NL
Doubles,Freddie Freeman,Los Angeles Dodgers,44.0,2022,NL
Hits,Freddie Freeman,Los Angeles Dodgers,11.0,2022,NL
Home Runs,Kyle Schwarber,Philadelphia Phillies,46.0,2022,NL
On Base Percentage,Freddie Freeman,Los Angeles Dodgers,0.407,2022,NL
RBI,Pete Alonso,New York Mets,131.0,2022,NL
Runs,Mookie Betts,Los Angeles Dodgers,117.0,2022,NL
Runs,Freddie Freeman,Los Angeles Dodgers,117.0,2022,NL
Slugging Average,Paul Goldschmidt,St. Louis Cardinals,0.578,2022,NL
Stolen Bases,Jon Berti,Miami Marlins,41.0,2022,NL
Total Bases,Austin Riley,Atlanta Braves,325.0,2022,NL
Triples,Gavin Lux,Los Angeles Dodgers,7.0,2022,NL
Triples,Brandon Nimmo,New York Mets,7.0,2022,NL
